PL-CCS kg/pl,PL-Tfe%,PL-FeO%,>16 mm,9-16 mm,6.3-9mm,<6.3 mm,Tumble%,Abrasion%,Porosity%,PL-SiO2%,PL-AL2O3%,PL-P%,PL-MnO%,PL-TiO2%,PL-CaO%,PL-MgO%
309,65.69,0.6,6.66,87.21,5.57,0.56,97.57,1.82,19.86,3.52,0.58,0.1,0.03,0.21,0.7,0.39
308,65.59,0.53,7.52,88.74,3.42,0.32,97.6,1.89,21.02,3.57,0.59,0.09,0.03,0.21,0.68,0.39
311,65.78,0.76,5.46,89.17,4.82,0.55,97.44,1.89,20.9,3.45,0.56,0.1,0.03,0.22,0.69,0.4
303,65.74,0.43,7.87,87.43,4.34,0.35,97.62,1.81,21.69,3.47,0.59,0.1,0.03,0.25,0.71,0.42
310,65.71,0.52,7.05,86.67,5.7,0.57,97.65,1.68,20.48,3.38,0.59,0.09,0.03,0.21,0.69,0.38
308,65.74,0.53,3.15,88.61,7.46,0.78,97.45,1.9,20.48,3.41,0.56,0.09,0.03,0.21,0.71,0.39
303,65.86,0.46,3.58,88.8,6.93,0.69,97.32,2.08,21.12,3.28,0.57,0.09,0.03,0.22,0.7,0.39
308,65.9,0.48,7.65,86.52,5.31,0.52,97.59,1.8,20.05,3.24,0.54,0.12,0.03,0.24,0.77,0.48
311,65.95,0.58,7.55,88.16,3.8,0.49,97.59,1.89,20.29,3.09,0.52,0.1,0.03,0.2,0.73,0.37
310,65.98,0.56,7.07,87.82,4.64,0.46,97.16,1.84,19.76,3.06,0.49,0.1,0.03,0.2,0.79,0.4
308,66.07,0.48,6.81,90.43,2.39,0.36,97.34,1.98,20.86,3.04,0.48,0.11,0.03,0.23,0.73,0.39
298,66.05,0.52,8.28,88.35,2.99,0.38,97.53,1.94,20.51,3.06,0.48,0.11,0.02,0.28,0.72,0.4
305,66.05,0.82,7.18,87.7,4.49,0.64,97.29,2.06,20.63,3.05,0.46,0.11,0.03,0.21,0.75,0.39
302,66.07,0.86,5.47,90.35,3.62,0.57,97.53,1.69,20.71,2.97,0.43,0.11,0.03,0.19,0.71,0.37
301,66.22,0.83,9.89,85.67,3.76,0.68,96.85,2.5,20.58,2.87,0.43,0.1,0.03,0.2,0.69,0.34
299,66.07,0.69,5.03,91.08,3.54,0.35,97.34,1.84,20.65,2.97,0.44,0.11,0.03,0.23,0.69,0.34
303,66.04,0.71,7.48,88.18,3.86,0.48,97.1,1.96,21.25,3.12,0.49,0.11,0.03,0.2,0.72,0.36
304,66.03,0.77,4.7,89.79,4.79,0.73,97.2,2.09,20.46,3.11,0.5,0.11,0.03,0.22,0.71,0.36
310,66.2,0.8,6.47,88.8,4.37,0.36,97.01,2.3,20.7,2.87,0.43,0.11,0.03,0.22,0.69,0.35
324,66.4,0.65,4.94,88,6.37,0.69,97.48,1.92,20.18,2.71,0.39,0.11,0.02,0.24,0.63,0.31
308,66.41,0.83,7.25,88.1,4.18,0.47,97.29,2.19,19.74,2.77,0.43,0.11,0.02,0.22,0.65,0.34
314,66.48,0.85,7.31,87.8,4.42,0.47,97.36,2.09,20.42,2.77,0.44,0.11,0.02,0.24,0.67,0.35
